time,WOB,WOB_0,WOB_SP,RPM,RPM_0,RPM_SP,ROP,T,MSE,dMSEdWOB,dMSEdRPM
[s],[kg],[kg],[kg],[rpm],[rpm],[rpm],[m/hr],[Nm],[MPa],[MPa/kg],[MPa/rpm]
101,8199.99849151078,8000,8200,58.0308292659334,60,58,11.5209306041719,7300.18743179122,183.36639414123,0,0
102,8199.99886863309,8000,8200,58.0205528439556,60,58,11.518891103572,7300.18784290592,183.36639353829,0,0
103,8199.99915147481,8000,8200,58.0137018959704,60,58,11.5175314938514,7300.18815124194,183.366393086085,0,0
104,8199.99936360611,8000,8200,58.0091345973136,60,58,11.5166251304112,7300.18838249395,183.366392746931,0,0
105,8199.99952270458,8000,8200,58.0060897315424,60,58,11.516020920413,7300.18855593297,183.366392492565,0,0
106,8199.99964202844,8000,8200,58.0040598210283,60,58,11.5156181379767,7300.18868601222,183.366392301791,0,0
107,8199.99973152133,8000,8200,58.0027065473522,60,58,11.5153496345282,7300.18878357167,183.366392158711,0,0
108,8199.999798641,8000,8200,58.0018043649015,60,58,11.5151706458629,7300.18885674125,183.3663920514,0,0
109,8199.99984898075,8000,8200,58.0012029099343,60,58,11.5150513303122,7300.18891161844,183.366391970918,0,0
110,8199.99988673556,8000,8200,58.0008019399562,60,58,11.5149717942819,7300.18895277633,183.366391910556,0,0
111,8199.99991505167,8000,8200,58.0005346266375,60,58,11.5149187760146,7300.18898364475,183.366391865284,0,0
112,8199.99993628875,8000,8200,58.0003564177583,60,58,11.5148834348177,7300.18900679606,183.36639183133,0,0
113,8199.99995221657,8000,8200,58.0002376118389,60,58,11.514859877256,7300.18902415954,183.366391805865,0,0
114,8199.99996416242,8000,8200,58.0001584078926,60,58,11.5148441746419,7300.18903718216,183.366391786766,0,0
115,8199.99997312182,8000,8200,58.0001056052617,60,58,11.5148337080529,7300.18904694912,183.366391772442,0,0
116,8199.99997984136,8000,8200,58.0000704035078,60,58,11.5148267316922,7300.18905427434,183.366391761699,0,0
117,8199.99998488102,8000,8200,58.0000469356719,60,58,11.514822081809,7300.18905976825,183.366391753641,0,0
118,8199.99998866077,8000,8200,58.0000312904479,60,58,11.5148189826548,7300.18906388869,183.366391747598,0,0
119,8199.99999149557,8000,7800,58.0000208602986,60,62,11.514816917128,7300.18906697902,183.366391743066,0,0
120,8099.99999362168,8000,7800,59.3333472401991,60,62,11.5924565055877,7191.17544429676,183.529059100283,0,0
121,8024.99999521626,8000,7800,60.222231493466,60,62,11.6237229223954,7109.41522728507,183.654823686804,0,0
122,7968.74999641219,8000,7800,60.814820995644,60,62,11.6302481532011,7048.0950645263,183.75134513534,0,0
123,7926.56249730915,8000,7800,61.2098806637627,60,62,11.624384489051,7002.10494245723,183.825008201251,0,0
